ID,category,description
0,DIVORCE,Prince William Marriage: New Biography Claims Prince Doubted Marriage To Kate Middleton
1,WELLNESS,WATCH: Exclusive Becoming Fearless Video Series
2,WELLNESS,15 Things You Should Give Up To Be Happy
3,WELLNESS,"Lana Kuykendall\, Mom With Flesh-Eating Disease\, Remains Critical"
4,TRAVEL,Airbus A320 To Offer Extra-Wide Seats For American Airline Companies
5,MONEY,Jim Nichols Made $138 On Facebook Shares
6,PARENTING,Lullabies by Broadway's Best
7,DIVORCE,Cat Divorce: Israeli Man Divorces Wife Over Her 550 Cats
8,WELLNESS,"Dopamine Beta Hydroxylase Deficiency\, Rare Disorder\, Causes Severe Head Rushes"
9,DIVORCE,7 Ways Single Moms Cope With Loneliness
10,PARENTING,Why Being a Mom is the Coolest Job Ever
11,WEDDINGS,Wedding Speeches: 5 Awkward On-Screen Wedding Toasts (VIDEO)
12,WELLNESS,How Eating Probiotic-Rich Can Protect You From Heart Disease
13,STYLE & BEAUTY,L'Uomo Vogue and Africa
14,WELLNESS,"10 Things We Learned from Fat\, Sick and Nearly Dead"
15,MONEY,Five Myths About Prepaid Cards
16,WELLNESS,What Excuses Might We Be Using to Keep Ourselves From Crossing Our Own Finish Lines?
17,FOOD & DRINK,The Best American Cheese For Melting
18,WELLNESS,Why Caregivers Need Self-Compassion
19,PARENTING,How a Friend Saved Lives After the Death of Her Baby -- What Every Mom Should Know
20,DIVORCE,Must Divorced Fathers Become Second Class Citizens?
21,WELLNESS,Let's Revolutionize Prostate Cancer
22,DIVORCE,11 Things All Good Divorce Lawyers Need To Know
23,PARENTING,Who Are The 'Real' Parents? An Adoptive Dad's Answer
24,WELLNESS,Germy Office Surfaces: Study Reveals Most Contaminated Items At Work
25,WELLNESS,Tapping Away Trauma:  'Emotional Freedom' Techniques
26,TRAVEL,Ancient Azerbaijan Dolls Itself Up For The Eurovision Song Contest (PHOTOS)
27,HOME & LIVING,14 Strange Craigslist Ads Of The Week (PHOTOS)
28,MONEY,Websites Help Consumers To Shop Around For Best Healthcare Deals
29,STYLE & BEAUTY,8 Natural Beauty Treatments That Are In Your Kitchen Right Now
